Name,Designation,Company
Nidhi Ramachandran,CEO,Taikee
Sachin Chhabra,CEO,Taikee
Dr Arbinder Singal,CEO,Fitterfly
Konark Sharma,CEO,FreeStand
Sneh Soni,CEO,FreeStand
Dr Mohender Narula,CEO,MyDentalPlan
Dr AnandKrishna,CEO,MyDentalPlan
Dr Girish Rao,CEO,MyDentalPlan
Radhika Choudary,CEO,Freyr Energy
Saurabh Marda,CEO,Freyr Energy
Sankar Bora,CEO,DealShare
Sourjyendu Medda,CEO,DealShare
Vineet Rao,CEO,DealShare
P Raja Manickam,CEO,Tessolve
Srinivas Chinamilli,CEO,Tessolve
Veerappan V,CEO,Tessolve
Arjun P Gupta,CEO,Smart Joules
Ujjal Majumdar,CEO,Smart Joules
Sidhartha Gupta,CEO,Smart Joules
Swapnil Jain,CEO,ORAI
Sujit Das Biswas,CEO,ORAI
Chandraprakash Joshi,CEO,ixamBee
Ashish Singhal,CEO,CoinSwitch Kuber
Govind Soni,CEO,CoinSwitch Kuber
Vimal Sagar Tiwari,CEO,CoinSwitch Kuber
Harshil Mathur,CEO,Razorpay
Shashank Kumar,CEO,Razorpay
Saurabh Saxena,CEO,Uable
Madhav Kasturia,CEO,ZFW Hospitality
Anil Yekkala,CEO,Optimized Electrotech
Dharin Shah,CEO,Optimized Electrotech
Kuldeep Saxena,CEO,Optimized Electrotech
Purvi Shah,CEO,Optimized Electrotech
Sandeep Shah,CEO,Optimized Electrotech
Kshama Fernandes,CEO,Northern Arc
Bhaktha Keshavachar,CEO,Chara
Ravi Prasad Sharma,CEO,Chara
Mahalingam Koushik,CEO,Chara
Mohit Bajaj,CEO,Sirona Hygiene
Harsimarbir (Harsh) Singh,CEO,Pristyn Care
Hitesh Dhingra,CEO,TrulyMadly
Rahul Kumar,CEO,TrulyMadly
Sachin Bhatia,CEO,TrulyMadly
Raman Garg,CEO,Vidyakul
Tarun Saini,CEO,Vidyakul
Ravi Vyas,CEO,Jambox Games
Chintan Raikar,CEO,Miko
Prashant Iyengar,CEO,Miko
Sneh Vaswani,CEO,Miko
Neeraj Menta,CEO,SuperK
Anish Basu Roy,CEO,TagZ Foods
Sagar Bhalotia,CEO,TagZ Foods
Aditya Singh,CEO,Fuel Buddy
Sundeep Mohindru,CEO,M1xchange
Rohin Parkar,CEO,Spintly
Narayan Lal Gurjar,CEO,EF Polymer
Aman Gupta,CEO,boAt
Sameer Mehta,CEO,boAt
Pranav Malhotra,CEO,TruNativ
Mamta Malhotra,CEO,TruNativ
Ram Sellaratnam,CEO,iBus
Sunil Menon and Subash Vasudevan,CEO,iBus
Manish Piyush,CEO,Puresh Daily
Ayush Kumar,CEO,Puresh Daily
Niral Modi,CEO,LearnVern
Aditi Modi,CEO,LearnVern
Aniket Bajpai,CEO,LimeChat
Nikhil Gupta,CEO,LimeChat
Dhawal Jain,CEO,Dybo
VIKASH MISHRA,CEO,moEVing
Karan Virwani,CEO,WeWork India
Vikram Iyer,CEO,Solethreads
Bhagwan (Pradeep) Khandekar,CEO,Beldara
Kunal Aggarwal,CEO,CredFlow
Ankit Agarwal,CEO,Do Your Thng
Akash Deep,CEO,Oye Rickshaw
Mohit Sharma,CEO,Oye Rickshaw
Himanshu Puri,CEO,Legitquest
Karan Kalia,CEO,Legitquest
Rohit Shukla,CEO,Legitquest
Nandan Reddy,CEO,Swiggy
Rahul Jaimini,CEO,Swiggy
Sriharsha Majety,CEO,Swiggy
Basav Nagur,CEO,AntWak
Joybroto Ganguly,CEO,AntWak
Sudhanshu Shekhar,CEO,AntWak
Sumit Gupta,CEO,AntWak
Sriramkumar Sundararaman,CEO,AntWak
Dinesh Advani,CEO,PlayShifu
Vivek Goyal,CEO,PlayShifu
Mihir Mohan Mishra,CEO,Pitstop
Nirant Ramakuru,CEO,Pitstop
Ruchi Deepak,CEO,Pitstop
Harshvardhan Lunia,CEO,Lendingkart
Mukul Sachan,CEO,Lendingkart
Kunal Shah,CEO,CRED
Neeraj Tyagi,CEO,Karnival
Dharmil Sheth,CEO,PharmEasy
Dhaval Shah,CEO,PharmEasy
Mikhil Innani,CEO,PharmEasy
