Name,Designation,Company
Balachander Sekhar,CEO,RenewBuy
Sandeep Nanda,CEO,RenewBuy
Mohit Sharma,CEO,Kutumb
Naveen Dewangan,CEO,Kutumb
Vipul Allawadhi,CEO,Kutumb
Shobhit Gupta,CEO,Superplum
Kanika Agarrwal,CEO,Upside AI
Nikhil Hooda,CEO,Upside AI
Atanuu Agarrwal,CEO,Upside AI
Sanchit Malik,CEO,PazCare
Rahul Ranganathan,CEO,Answer Genomics
Dhvanil Sheth,CEO,Skillmatics
Vikul Goyal,CEO,Bimaplan
Saurav Gandhi,CEO,Bueno Finance
Sandeep Arora,CEO,Bueno Finance
Angad Kikla,CEO,CityMall
Naisheel Verdhan,CEO,CityMall
Byju Raveendran,CEO,BYJU’S
Divya Gokulnath,CEO,BYJU’S
Anand Lunia,CEO,India Quotient
Madhukar Sinha,CEO,India Quotient
Abhishek Kumar,CEO,The Switch Fix
Rhea Shukla,CEO,The Switch Fix
Ganesh ranganathan iyer,CEO,Anvidha Technologies
Saurabh Soni,CEO,DigiSparsh
Akhilesh Gandhi,CEO,DigiSparsh
Jamesh Johnson,CEO,BigLeap
Sainath Malkapuram Goud,CEO,BigLeap
Akshay Shekhar,CEO,Kazam
Vaibhav Tyagi,CEO,Kazam
Own rent yielding commercial properties,CEO,MYRE Capital
Rahul Mathur,CEO,BimaPe
Gaurav Kamath,CEO,MicroDegree
Rakesh Kothari,CEO,MicroDegree
Manikanta Nair,CEO,MicroDegree
Pedagogy,CEO,Saarthi Pedagogy
Meenakshi Singh,CEO,Synapsica
Dr Cherian,CEO,Synapsica
Kuldeep Singh Chauhan,CEO,Synapsica
Prabhleen Kaur,CEO,Kwik Foods
Harshal Patel,CEO,Kwik Foods
Keyur Bhalavat,CEO,Plutomen
Kushal Karwa,CEO,GoMechanic
Nikhilesh Mishra,CEO,Grinntech
Puneet Jain,CEO,Grinntech
Johari Kamal,CEO,Nobel Hygiene
Sanchit Garg,CEO,Green Cure
Mukul Rustagi,CEO,Classplus
Bhaswat Agarwal,CEO,Classplus
Silus Reddy Chintapalli,CEO,WINDO
Rakesh Vaddadi,CEO,WINDO
Shruti,CEO,ApnaKlub
Manish Kumar,CEO,ApnaKlub
Kundan Shahi,CEO,LegalPay
Disha Jain,CEO,Lavado
Sravan Varma Datla,CEO,Navars
Naitik Baghla,CEO,GoBolt
Parag Aggarwal,CEO,GoBolt
Sumit Sharma,CEO,GoBolt
Anirudh Pandita,CEO,Loco
Ashwin Suresh,CEO,Loco
Deepak Agarwal,CEO,Auric
Gaurav Doshi,CEO,Edmingle
Rajan Bajaj,CEO,Slice
Rohit Ganapathy,CEO,Humit
Prithvi Sankar,CEO,Humit
Ishaan Negi,CEO,Humit
Videt Jaiswal,CEO,Airblack
Vaibhav Raj Gupta,CEO,Airblack
Geetha Manjunath,CEO,NIRAMAI
Rahul Arora,CEO,Intervue
Pushpender Singh Rautela,CEO,Intervue
Chhavi Singh,CEO,Nestroots
Daniel Raj David,CEO,Detect Technologies
Sasidhar Nandigam,CEO,CredR
Vivek Subramanian,CEO,Fourth Partner Energy
Anish Agarwal,CEO,TABLT
Vamsi Udayagiri,CEO,Hesa
Hema Nandiraju,CEO,Hesa
Shashwat Diesh,CEO,Powerhouse91
Aqib Mohammed,CEO,Powerhouse92
Tamal Mukherjee,CEO,Nalanda Learning
Varun Goenka,CEO,Chargeup
Akshay Kashyap,CEO,Chargeup
Pranjal Kumar,CEO,Knackit
Akanksha Bhardwaj,CEO,Knackit
Sidharth Gupta,CEO,Treebo Hotels
Kadam Jeet Jain,CEO,Treebo Hotels
Rahul Chaudhary,CEO,Treebo Hotels
Phunith Kumar,CEO,Raptee Energy
Saurabh Kochhar,CEO,Meddo
Dr Naveen Nishchal,CEO,Meddo
Vineet Khanna,CEO,Supertails
Varun Sadana,CEO,Supertails
Aman Tekriwal,CEO,Supertails
Amit Chaudhary,CEO,Lenskart
Peyush Bansal,CEO,Lenskart
Prateek Garg,CEO,ParkSmart
Rahul Gupta,CEO,ParkSmart
Ratan Anmol Sethi,CEO,ParkSmart
Rishabh Nagpal,CEO,ParkSmart
Vishva Sharma,CEO,ParkSmart
Archit Jayasal,CEO,Virohan
Kunaal Dudeja,CEO,Virohan
Nalin Saluja,CEO,Virohan
Paarul Dudeja,CEO,Virohan
Jitendra Dhaka,CEO,BankSathi
Anushree Goenka,CEO,Spark Studio
Minu Margeret,CEO,BlissClub
Madhusudhan,CEO,BricSpaces
Lalit Ahuja,CEO,ANSR
Amal P S,CEO,Keito
Amit Chowdhury,CEO,Reccy Adventures
Siddhartha Chatterjee,CEO,Reccy Adventures
Tapas Pal,CEO,Reccy Adventures
Maxson Lewis,CEO,Magenta EV
Darryl Dias,CEO,Magenta EV
Amit Jangir,CEO,Karbon Card
Bo Li,CEO,Karbon Card
Jianwei Chen,CEO,Karbon Card
Kartik Jain,CEO,Karbon Card
Pei-fu Hsieh,CEO,Karbon Card
Sunil Kumar,CEO,Karbon Card
Jo Aggarwal,CEO,Wysa
Ramakant Vempati,CEO,Wysa
Moin SPM,CEO,Agnikul
Satyanarayanan Chakravarthy,CEO,Agnikul
Srinath Ravichandran,CEO,Agnikul
Kundan Shahi,CEO,LegalPay
Divyanshu Singh,CEO,Glamplus
Anand Verma,CEO,Tekie
Naman Mukund,CEO,Tekie
Raja Vaidyanathan,CEO,Asirvad Microfinance
Varun Mayya,CEO,Avalon Labs
Aprameya Radhakrishna,CEO,Koo
Mayank Bidawatka,CEO,Koo
