Name,Designation,Company
Mayur Relekar,CEO,Arcana
Abhishek Chaudhary,CEO,Arcana
Aravindh Kumar,CEO,Arcana
Mohit Jain,CEO,FloCareer
Mehul Bhatt,CEO,FloCareer
Prasad Kompalli,CEO,MFine
Ashutosh Lawania,CEO,MFine
Ananth B Prabhala,CEO,Aquatein
Mitisha Mehta,CEO,Aquatein
Anurag Vaish,CEO,Mentza
Anand Parameswaran,CEO,Mentza
Fareesh Vijayarangam,CEO,Mentza
Tapasi Mittal,CEO,Mentza
Shubham Gupta,CEO,ConnectedH
Rahul Kumar,CEO,ConnectedH
Suresh Singh,CEO,ConnectedH
Gaurav Kumar,CEO,CredAvenue
Vamsi Krishna,CEO,Vedantu
Pulkit Jain,CEO,Vedantu
Divya Balakrishnan,CEO,Vedantu
Anand Prakash,CEO,Vedantu
Saurabh Saxena,CEO,Vedantu
Shivakumar Ganesan,CEO,Exotel
Vijay Sharma,CEO,Exotel
Siddharth Ramesh,CEO,Exotel
Ishwar Sridharan,CEO,Exotel
Amit Purohit,CEO,Fantasy Akhada
Sumit Kumar Jha,CEO,Fantasy Akhada
Sanjeev Barnwal,CEO,Meesho
Vidit Aatrey,CEO,Meesho
Tarun Lawadia,CEO,PumPumPum
Abhinav Ayan,CEO,Cusmat
Anirban Jyoti Chakravorty,CEO,Cusmat
Madhusudan Sharma,CEO,Homeville
Tarun Gupta,CEO,Coinshift
Varun Satyam,CEO,Strip Finance
Yash Jejani,CEO,Strip Finance
Yuvraj Chhibber,CEO,Strip Finance
Bhavish Aggarwal,CEO,Ola Electric
Pranav Garg,CEO,Kolo
Jery Althaf,CEO,Kolo
Vipul Sharma,CEO,Chqbook
Sachin Arora,CEO,Chqbook
Rajat Kumar,CEO,Chqbook
Harsha P Deka,CEO,My3DSelfie
Manish Narang,CEO,EV Plugs
Ashwani Arora,CEO,EV Plugs
Kapil Narang,CEO,EV Plugs
Satish Mugulavalli,CEO,Rulezero
Srinivas Katta,CEO,Rulezero
Neeraj Bansal,CEO,CredRight
Pei-fu Hsieh,CEO,Karbon Card
Amit Jangir,CEO,Karbon Card
Kartik Jain,CEO,Karbon Card
Sunil Sinha,CEO,Karbon Card
Satrajit Das,CEO,Auntie Fung
Subhradeep Bhowmik,CEO,Auntie Fung
Aurko Bhattacharya,CEO,ePayLater
Akshat Saxena,CEO,ePayLater
Rohit Chattopadhyay,CEO,Fittr
Jitendra Chouksey,CEO,Fittr
Suniel Shetty,CEO,Fittr
Sonal Singh,CEO,Fittr
Bala Dabbedi,CEO,Fittr
Vivek Tiwari,CEO,Medikabazaar
Ketan Malkan,CEO,Medikabazaar
Rahul Saria,CEO,Nimble Growth Organics
Nagendra Kalkuli,CEO,Nimble Growth Organics
Abhisek Bhagchandka,CEO,Nimble Growth Organics
Pradeep Kumar ML,CEO,Nimble Growth Organics
Sahil Barua,CEO,Delhivery
Lavika Aggarwal,CEO,Akudo
Sajal Khanna,CEO,Akudo
Jgaveer Gandhi,CEO,Akudo
Shiv Gupta,CEO,Sanctum Wealth
Anil Ahuja,CEO,88academics
Sameer Sawhney,CEO,Upgame
Archit Aggarwal,CEO,Sanfe
Harry Sehrawat,CEO,Sanfe
Girish Patel,CEO,Sterling Accuris Wellness
Siddharth,CEO,Bijnis
Chaitanya Rathi,CEO,Bijnis
Siddharth Rastogi,CEO,Bijnis
Shubham Agarwal,CEO,Bijnis
Sashank Rishyasringa,CEO,Capital Float
Gaurav Hinduja,CEO,Capital Float
Suresh Anantpurkar,CEO,Manch Technologies
Vinners,CEO,Sochcast
Raj Nayak,CEO,Sochcast
Amritaanshu Agrawal,CEO,Sochcast
Archit Garg,CEO,Glamyo Health
Dr Preet Pal Thakur,CEO,Glamyo Health
Vivek,CEO,CashBook
Ashutosh Pathak,CEO,CashBook
Manuraj Jain,CEO,The Money Club
Surajit Ra,CEO,The Money Club
Raghuveer Allada,CEO,SuperZop
Prithwi Singh,CEO,SuperZop
Darshan Krishnamurthy,CEO,SuperZop
Akash Gupta,CEO,Zypp Electric
Rashi Agarwal,CEO,Zypp Electric
Ketan Mavinkurve,CEO,Alpha Coach
Safdhar Adoor,CEO,VRO Hospitality
Dawn Thomas,CEO,VRO Hospitality
Sharath Rice,CEO,VRO Hospitality
Sricharan Tadepalli,CEO,byteXL
Karun Tadepalli,CEO,byteXL
Mayank Goyal,CEO,Leena AI
Anand Prajapati,CEO,Leena AI
Mehul Agrawal,CEO,CARS24
Vikram Chopra,CEO,CARS25
Anurakt Jain,CEO,Klub
Ishita Verma,CEO,Klub
Sanjyot Bhosale,CEO,Bluepad
Devakrishna Asokar,CEO,Bluepad
Kishore Garimella,CEO,Bluepad
Rahul Raj,CEO,FloBiz
Aditya Naik,CEO,FloBiz
Rakesh Yadav,CEO,FloBiz
Hiranmay Mallick,CEO,Tummoc
Monalisha Thakur,CEO,Tummoc
Narayan Mishra,CEO,Tummoc
Shezan Bhojani,CEO,Design Cafe
Gita Ramanan,CEO,Design Cafe
Vivek Kumar Choubey,CEO,PayCardo
Vivek Kumar,CEO,PayCardo
Harsha Kadimisetty,CEO,Aerchain
Himavanth Jasti,CEO,Aerchain
Jatin Solanki,CEO,Expertrons
Vivek Gupta,CEO,Expertrons
Amit Shekhar,CEO,CuriousJr
Janishar Ali,CEO,CuriousJr
Mridul Ranjan Sahu,CEO,CuriousJr
Binod Homagai,CEO,Wow! Momo
Sagar Daryani,CEO,Wow! Momo
Shah Miftaur Rahman,CEO,Wow! Momo
Vineet Khanna,CEO,Supertails
Varun Sadana,CEO,Supertails
Aman Tekriwal,CEO,Supertails
S. Abhaya Kumar,CEO,LifeCell
Priya Sharma,CEO,ZestMoney
Lizzie Chapman,CEO,ZestMoney
Shubhadit Sharma,CEO,FrontRow
Mikhil Raj,CEO,FrontRow
Ishaan Preet Singh,CEO,FrontRow
Jitendra Kumar,CEO,HappyCredit
Ashish Virmani,CEO,HappyCredit
Bharadwaj Kss,CEO,Endimension
Apparao MLV,CEO,Endimension
Kurien Zacharia,CEO,Endimension
Balkrishna Singh,CEO,Frenzi
Harvinderjit Singh Bhatia,CEO,Frenzi
Akshay Chaturvedi,CEO,Leverage Edu
Hemir Doshi,CEO,BeepKart
Abhishek Saraf,CEO,BeepKart
Anupam Vijayvergia,CEO,Lio
