Name,Designation,Company
Naliene Ramasamy,CEO,Braingroom
Kalaiarsi Periasamy,CEO,Braingroom
Ravi Nishant,CEO,Edvizo
Avinash Kumar,CEO,Credenc
Nitin Agarwal,CEO,GlobalBees
Niraj Singh,CEO,Spinny
Mohit Gupta,CEO,Spinny
Ramanshu Mahaur,CEO,Spinny
Dr Raghavan Varadarajan,CEO,Mynvax
Dr Gautham Nadig,CEO,Mynvax
Ashutosh Seth,CEO,RiseBird
Mehak Malik,CEO,Uvi Health
Praneeth Kumar,CEO,Vegrow
Shobhit Jain,CEO,Vegrow
Mrudhukar Batchu,CEO,Vegrow
Kiran Naik,CEO,Vegrow
Mridu Mahendra Das,CEO,Automovill
Chinmay Baruah,CEO,Automovill
Toshendra Sharma,CEO,NFTically
Tushar Vashisht,CEO,HealthifyMe
Sachin Shenoy,CEO,HealthifyMe
Amit Kumar,CEO,GalaxyCard
Aakash Anand,CEO,Bella Vita Organic
Jayant Upadhyay,CEO,SmartCoin
Amit Chandel,CEO,SmartCoin
Rohit Garg,CEO,SmartCoin
Shronit Ladhaniai,CEO,CareerNinja
Gagan Vermani,CEO,MYSUN
Sailaja Nori,CEO,Sea6 Energy
Nelson Vadassery,CEO,Sea6 Energy
Sowmya Balendiran,CEO,Sea6 Energy
Shrikumar Suryanarayan,CEO,Sea6 Energy
Aditya Ruia,CEO,Beco
Akshay Varma,CEO,Beco
Anuj Ruia,CEO,Beco
Manish Shara,CEO,OneCode
Yash Desai,CEO,OneCode
Arun Bhatia,CEO,MedPay
Ravi Chandra,CEO,MedPay
Azhar Iqubal,CEO,Inshorts
Anirudh N Sharma,CEO,Digantara
Rahul Rawat,CEO,Digantara
Tanveer Ahmed,CEO,Digantara
Prasanna Manogaran,CEO,Aqgromalin
Bharani CL,CEO,Aqgromalin
Tanuj Shori,CEO,Square Yards
Ritesh Agarwal,CEO,OYO
Kumar Rangarajan,CEO,Slang Labs
Joyneel Acharya,CEO,NirogGyan
Shweta Gandhi,CEO,NirogGyan
Bhavish Aggarwal,CEO,Ola Electric
Abhishek Bhayana,CEO,Bikry app
Abhishek Patil,CEO,Oliveboard
V Satish Kumar,CEO,Oliveboard
Holistic Development Programs for children in age range 5-15,CEO,Little Leap
Pulkit Agarwal,CEO,Trell
Prashant Sachan,CEO,Trell
Arun Lodhi,CEO,Trell
Bimal Kartheek Rebba,CEO,Trell
Vineet Patawari,CEO,Kredent
Vivek Bajaj,CEO,Kredent
Vinay Pagaria,CEO,Kredent
Manoj Gupta,CEO,EasyAspataal
Gunjali Kothari,CEO,EasyAspataal
Vimal Sharma,CEO,SMOOR
Pankhuri Shrivastava,CEO,Pankhuri
Mayur Relekar,CEO,Arcana
Aravindh Kumar,CEO,Arcana
Abhishek Chaudhary,CEO,Arcana
Vamsi Krishna,CEO,AdmitKard
Pulkit Jain,CEO,AdmitKard
Gaurav Munjal,CEO,AdmitKard
Srinivas Chaganti,CEO,UrbanKisaan
Vihari Kanukollu,CEO,UrbanKisaan
Sairam Reddy,CEO,UrbanKisaan
Rajamanohar,CEO,Aquaconnect
Shailesh Daxini,CEO,Vah Vah!
Akash Senapaty,CEO,Vah Vah!
Muthukaleeshwaran Subbiah,CEO,Vah Vah!
