Name,Designation,Company
Manoj Meena,CEO,Atomberg Technologies
Sibabrata Das,CEO,Atomberg Technologies
Ali Asgar Kagzi,CEO,Genext Students
Piyush Dhanuka,CEO,Genext Students
Aridni Shah,CEO,immunitoAI
Trisha Chatterjee,CEO,immunitoAI
Nikhil Malankar,CEO,GameEon Studios
Pradeep PS,CEO,Farmers Fresh Zone
Aayushi Khandelwal,CEO,Anveshan
Akhil Kansal,CEO,Anveshan
Kuldeep Parewa,CEO,Anveshan
Amit Agrawal,CEO,OckyPocky
Mahima Kaul,CEO,Coutloot
Jasmeet Thind,CEO,Coutloot
Saransh Garg,CEO,Nova Benefits
Yash Gupta,CEO,Nova Benefits
Srikanth Iyer,CEO,HomeLane
Sahil Sheth,CEO,Lido Learning
Nishchay AG,CEO,Jar
Misbah Ashraf,CEO,Jar
Runal Dahiwade,CEO,Peppermint
Miraj C Vora,CEO,Peppermint
Mayank Goyal,CEO,moneyHOP
Vivek Prakash,CEO,Codingal
Satyam Baranwal,CEO,Codingal
Sourabh Gupta,CEO,Skit
Akshay Deshraj,CEO,Skit
Atul Sharma,CEO,Peak
Mohit Yadav,CEO,REVOS
Jyotrian Jan Harichandran,CEO,REVOS
Sandeep Jethwani,CEO,Dezerv.
Vaibhav Porwal,CEO,Dezerv.
Sahil Contractor,CEO,Dezerv.
Prashant Sachan,CEO,AppsForBharat
Somnath Sandeep,CEO,Habbit
Raghav Goyal,CEO,Habbit
Sonakshi Nathani,CEO,Bikayi
Ashutosh Singla,CEO,Bikayi
Shivtosh Kumar,CEO,Sugar.fit
Madan Somasundaram,CEO,Sugar.fit
Suumit Shah,CEO,Dukaan
Subhash Choudhary,CEO,Dukaan
Tarun Saini,CEO,Vidyakul
Gaurav Singhvi,CEO,Vidyakul
Abhay Rangan,CEO,Goodmylk
Swaroop Vijayakumar,CEO,Fieldproxy
Balakrishna B,CEO,Fieldproxy
Sanket Sheth,CEO,Elixia Tech Solutions
Saravanan Jaichandaran,CEO,bitsCrunch
Aakas Sadasivam,CEO,Prolgae
Talha Shaikh,CEO,Biddano
Ashok Yadav,CEO,Biddano
Amit Sharma,CEO,Geniemode
Tanuj Gangwani,CEO,Geniemode
Hardik Somani,CEO,Sapio Analytics
Ashwin Srivastava,CEO,Sapio Analytics
Shripal Jain,CEO,Sapio Analytics
Viral Vora,CEO,Sapio Analytics
Tarun Nazare,CEO,Neokred
Rohith Reji,CEO,Neokred
Sahil Barua,CEO,Delhivery
Kunal Sharma,CEO,Flipspaces
Aditya Uttaravalli,CEO,Fleek
Arvind Eashwar,CEO,Fleek
Ankush Talwar,CEO,GoKwik
Chirag Taneja,CEO,GoKwik
Vivek Bajpai,CEO,GoKwik
Ashish Korde,CEO,Proeon
Kevin Parekh,CEO,Proeon
Amit Srivastava,CEO,InfyU Labs
Ankit Chauhan,CEO,InfyU Labs
Vikram Singh Meena,CEO,TechEagle
Arjun Arunachalam,CEO,Voxelgrids
Prasad Sreeram,CEO,Cogos Technologies
Chirag Mittal,CEO,Gigforce
Anirudh Syal,CEO,Gigforce
Bala Sarda,CEO,Vahdam
Arnav Kumar,CEO,Leap Finance
Vaibhav Singh,CEO,Leap Finance
Ruchir Arora,CEO,CollegeDekho
Vishal Chopra,CEO,WeRize
Himanshu Gupta,CEO,WeRize
Pei-fu Hsieh,CEO,Karbon Card
Amit Jangir,CEO,Karbon Card
Kartik Jain,CEO,Karbon Card
Sunil Sinha,CEO,Karbon Card
