Name,Designation,Company
Sneha Roy,CEO,Murf.ai
Ankur Edkie,CEO,Murf.ai
Divyanshu Pandey,CEO,Murf.ai
Rajan navani,CEO,JetSynthesys
Mohammad Patel,CEO,MYFITNESS
Rahil Virani,CEO,MYFITNESS
Shilpa Rathi,CEO,I am Love
Darpan Sanghvi,CEO,MyGlamm
Priyanka Gill,CEO,MyGlamm
Divyesh Patel,CEO,Gumlet
Aditya Patadia,CEO,Gumlet
Saurabh Pandey,CEO,Eloelo
Akshay Dubey,CEO,Eloelo
Chandrahas Panigrahi,CEO,Edukemy
Mratunjay,CEO,Zingbus
Prashant Kumar,CEO,Zingbus
Ravi Kumar Verma,CEO,Zingbus
Soniya Kundnani,CEO,NewsReach
Darshan Shah,CEO,NewsReach
VishwajitPureti,CEO,Pencilton
Ashish Singh,CEO,Pencilton
Pallavi Tipparaju,CEO,Pencilton
Viraj Gadde,CEO,Pencilton
Prashant Gupta,CEO,Bandhoo
Sridhar Sundaram,CEO,Bandhoo
Rajnish Kumar,CEO,ixigo
Aloke Bajpai,CEO,ixigo
Shashank Mehta,CEO,The Whole Truth
Anurag Mundhada,CEO,Insane AI
Jayesh Hannurkar,CEO,Insane AI
Sourabh Agrawal,CEO,Insane AI
Kamal Kant Gupta,CEO,Learn4o Technology
Sandeep Aggarwal,CEO,Droom
Yogesh Patil,CEO,Skymet
Shyam Kalita,CEO,Go Swift
Debanshu Sinha,CEO,Go Swift
Prayas Mittal,CEO,Go Swift
Varun Alagh,CEO,Mamaearth
Ghazal Alagh,CEO,Mamaearth
Rishi Vasudev,CEO,G.O.A.T
Rameswar Misra,CEO,G.O.A.T
Sachin Sahni,CEO,Keeros
Simran Sahni,CEO,Keeros
Smriti Dubey,CEO,ReDesyn
Shikhar Vaidya,CEO,ReDesyn
Sanket Nerkar,CEO,Inspacco
Paresh Kotkar,CEO,Inspacco
Rakhi Wadhwa,CEO,Knorish
Kinner N Sacchdev,CEO,Knorish
Mudit Dandwate,CEO,Dozee
Dandwate,CEO,Dozee
B Ramasubramanian,CEO,BlackBuck
Chanakya Hridaya,CEO,BlackBuck
Rajesh Yabaji,CEO,BlackBuck
Aquibur Rahman,CEO,Mailmodo
Apurv Gupta,CEO,Mailmodo
Devyesh Tandon,CEO,Mailmodo
Yasharth Mishra,CEO,SuperBeings
Gaurav Bhawnani,CEO,SuperBeings
Kunal Mishra,CEO,SuperBeings
Ram N Kumar,CEO,NirogStreet
Arun Satyan,CEO,Hyreo
Mahesh Raju,CEO,Hyreo
Sreenath N,CEO,Hyreo
Mahesh Godi,CEO,GODI Energy
Mayank Banerjee,CEO,Even
Matilde Giglio,CEO,Even
Alessandro Davide Ialongo,CEO,Even
Utham Gowda,CEO,Captain Fresh
Varun Khurana,CEO,Otipy
Peyush Bansal,CEO,Lenskart
Vikalp Sahni,CEO,Eka.care
Madhula Sathyamoorthy,CEO,Braingroom
