Name,Designation,Company
Aditya B,CEO,LetsDressUp
Ashwin Srivastava,CEO,Sapio Analytics
Hardik Somani,CEO,Sapio Analytics
Prashant Nikam,CEO,Sapio Analytics
Backed by 100x.VC,CEO,BHyve
Dr. ASIT SAHOO,CEO,Indi Energy
Param Bhargava,CEO,The Ayurveda Co
Shreedha Singh,CEO,The Ayurveda Co
Ranjeet Pratap Singh,CEO,Pratilipi
Saurabh Chandra,CEO,Ati Motors
Saad Nasser,CEO,Ati Motors
Dharmin Vora,CEO,peAR
Dhruvesh Mehta,CEO,peAR
Parth Vora,CEO,peAR
Arjun Balaji,CEO,Gourmet Garden
Puneet Bhaskar,CEO,TyrePlex
Rupendra Pratap Singh,CEO,TyrePlex
Akhil Aryan,CEO,ION Energy
Kamesh Goyal,CEO,Digit Insurance
Atul Kumar,CEO,FRAAZO
Aashish Krishnatre,CEO,FRAAZO
Abhay Hanjura,CEO,Licious
Vivek Gupta,CEO,Licious
Paavan Nanda,CEO,WinZO
Ajith Mohan Karimpana,CEO,Furlenco
Mughilan Thiru Ramasamy,CEO,Skylark Drones
Shivam Singla,CEO,Leegality
Ganesh Sonawane,CEO,Arcatron Mobility
Amit Sharma,CEO,TWID
Amit Koshal,CEO,TWID
Rishi Batra,CEO,TWID
Aishwarya Goel,CEO,PeakPerformer
Gaurav Jhunjhnuwala,CEO,PeakPerformer
Dheeraj Khatter,CEO,MyMobiForce
Himanshu Kumar,CEO,MyMobiForce
Kshitiz Saini,CEO,MyMobiForce
Amrish Rau,CEO,Pine Labs
S Ganeshprasad,CEO,Genworks Health
Aarav Bhatia,CEO,Pocketly
Navdeesh Ahuja,CEO,Pocketly
Lakshmana Pasala,CEO,Neverinstall
Ram Pasala,CEO,Neverinstall
Ankush Sabharwal,CEO,CoRover
Manav Gandotra,CEO,CoRover
Kunal Bhakhri,CEO,CoRover
Gautam Chopra,CEO,BeatO
Harini Sivakumar,CEO,Earth Rhythm
Niki Khokale,CEO,Fountain9
Rajas Lonkar,CEO,Fountain10
Deepak Poduval,CEO,Rockclimber
Hariprasad Shetty,CEO,Rockclimber
Arindam Choudhury,CEO,CanPe
Ravi Khushwani,CEO,Green Soul
Saahil Goel,CEO,Shiprocket
Akshay Ghulati,CEO,Shiprocket
Rajat Shikhar,CEO,DealShare
Vineet Rao,CEO,DealShare
Sourjyendu Medda,CEO,DealShare
Mihir Gupta,CEO,Teachmint
Payoj Jain,CEO,Teachmint
Divyansh Bordia,CEO,Teachmint
Anshuman Kumar,CEO,Teachmint
Vikas Chandrawat,CEO,Vahak
Karan Shaha,CEO,Vahak
Pallavi Agarwal,CEO,goSTOPS
Pankaj Parwanda,CEO,goSTOPS
Mehul Mohan,CEO,Codedamn
Vibha Mittal,CEO,Biocraft Innovation Technology
Anubhav Mittal,CEO,Biocraft Innovation Technology
Shubham Goyal,CEO,Powerplay
Lesh Dixit,CEO,Powerplay
Tuhin Sharma,CEO,Accio Robotics
Pranav Srinivasan,CEO,Accio Robotics
Bhavesh Manglani,CEO,Delhivery
Kapil Bharati,CEO,Delhivery
Mohit Tandon,CEO,Delhivery
Sahil Barua,CEO,Delhivery
Suraj Saharan,CEO,Delhivery
Rajeev Gaba,CEO,Avishkaar
Tarun Bhalla,CEO,Avishkaar
Atul Pratap Singh,CEO,Jobsgaar
Abhishek Shah,CEO,Almo
Aditya Kaicker,CEO,Breathe Well-being
Rohan Verma,CEO,Breathe Well-being
Denil Chawda,CEO,GalaxEye
Kishan Thakkar,CEO,GalaxEye
Pranit Mehta,CEO,GalaxEye
Satyanarayanan Chakravarthy,CEO,GalaxEye
Suyash Singh,CEO,GalaxEye
Samarth Sindhi,CEO,Good Health Clinic
Abhiraj Singh Bhal,CEO,Urban Company
Raghav Chandra,CEO,Urban Company
Varun Khaitan,CEO,Urban Company
Arjit Soni,CEO,MYBYK
Geet Garg,CEO,Locus
Nishith Rastogi,CEO,Locus
Vikas Bansal,CEO,Crejo.Fun
Ashish Gupta,CEO,Bambinos
Ankit Hetamsaria,CEO,Bambinos
Karthikeyan Krishnaswamy,CEO,KreditBee
Madhusudan Ekambaram,CEO,KreditBee
