Name,Designation,Company
Harsha Vardhan K,CEO,Nexprt
Jo Aggarwal,CEO,Wysa
Ramakant Vempati,CEO,Wysa
Ritu Verma,CEO,Ankur capital
Alok Mittal,CEO,Indifi
Siddharth Mahanot,CEO,Indifi
Sundeep Sahi,CEO,Indifi
Prashant Gupta,CEO,Firmway
Vivek Chandan,CEO,Firmway
Rajpreet Kaur,CEO,Say Cheese
Sunil Jalihal,CEO,Indic Inspirations
Vikul Goyal,CEO,Bimaplan
Madhusudanan R,CEO,YAP
Prabhu R,CEO,YAP
Vaibhav Singh,CEO,Leap Finance
Mohinder Pal Bansal,CEO,BlackSoil NBFC
Ritesh Agarwal,CEO,OYO
Analjit Singh,CEO,Max Healthcare
Hitesh Goswami,CEO,4baseCare
Kshitij Rishi,CEO,4baseCare
Vaibhav Khanna,CEO,Ezstays
Abhishek Kumar,CEO,Ezstays
Kumar Gaurav,CEO,Ezstays
Sparsh Khandelwal,CEO,Stylework
Hardika Shah,CEO,Kinara Capital
Suvendu Prusty,CEO,Riskcovry
Sorabh Bhandari,CEO,Riskcovry
Vidya Sridharan,CEO,Riskcovry
Chiranth Patil,CEO,Riskcovry
Gautam Virk,CEO,NODWIN
Ankit Gupta,CEO,Quizizz
Deepak Joy Cheenath,CEO,Quizizz
K. Satyanarayana,CEO,Ecom Express
Manju Dhawan,CEO,Ecom Express
Sanjeev Saxena,CEO,Ecom Express
T. A. Krishnan,CEO,Ecom Express
Anand Prabhudesai,CEO,Turtlemint
Dhirendra Mahyavanshi,CEO,Turtlemint
Kunal Shah,CEO,Turtlemint
Utham Gowda,CEO,Captain Fresh
Kshama Fernandes,CEO,Northern Arc
Vimal Singh Rathore,CEO,Qoohoo
Aseem Gupta,CEO,Qoohoo
Yash Pariani,CEO,IGL
Shubham Gupta,CEO,AMPM
Pranjal Mehta,CEO,The ePlane
Satyanarayanan Chakravarthy,CEO,The ePlane
Amit Sethi,CEO,Cashify
Mandeep Manocha,CEO,Cashify
Nakul Kumar,CEO,Cashify
Chaitanya Rathi,CEO,Bijnis
Shubham Agarwal,CEO,Bijnis
Siddharth Rastogi,CEO,Bijnis
Siddharth Vij,CEO,Bijnis
Akhil Singh,CEO,Questt
Mohsin,CEO,Questt
Rohit Pande,CEO,Questt
Sankar Bora,CEO,DealShare
Sourjyendu Medda,CEO,DealShare
Vineet Rao,CEO,DealShare
Saurav Kumar,CEO,Euler Motors
Karthik Reddy,CEO,Blume Ventures
Sanjay Nath,CEO,Blume Ventures
Praphul Chandra,CEO,KoineArth
Vidhika Rohatgi,CEO,ImaginXP
Archit Jayasal,CEO,Virohan
Kunaal Dudeja,CEO,Virohan
Nalin Saluja,CEO,Virohan
Ankit Mehta,CEO,ideaForge
Ashish Bhat,CEO,ideaForge
