Name,Designation,Company
Saurabh Srivastav,CEO,Spardha
Amrita Srivastav,CEO,Spardha
Gaurav Aggarwal,CEO,Onelife Nutriscience
Ganesh Balakrishnan,CEO,Flatheads
Utkarsh Biradar,CEO,Flatheads
Naushad Contractor,CEO,Fable Fintech
Manish Ahuja,CEO,Holisol
Naveen Rawat,CEO,Holisol
Rahul Dogar,CEO,Holisol
Bani Singh,CEO,Now&Me
Drishti Gupta,CEO,Now&Me
Sudhanshu Rai,CEO,Fyllo
Sumit Sheoran,CEO,Fyllo
Shrijit Venkatesh,CEO,Cora Health
Snigdha Kumar,CEO,Cora Health
Abinesh Ekambaram,CEO,Blaer Motors
Abhinav Agarwal,CEO,Swiflearn
Anand Bakode,CEO,Swiflearn
Akash Sinha,CEO,Cashfree
Reeju Datta,CEO,Cashfree
Deepak Bhagchandani,CEO,QuickSell
Akshat Nayyar,CEO,Truemeds
Kunal Wani,CEO,Truemeds
Sandeep Aggarwal,CEO,Candes
Vipin Aggarwal,CEO,Candes
Satish Kannan,CEO,MediBuddy
Enbasekar,CEO,MediBuddy
Gaurav Hinduja,CEO,Capital Float
Sashank Rishyasringa,CEO,Capital Float
Pramod Sharma,CEO,IntelleWings
Nisschal Jain,CEO,Shyplite
Sugam Jain,CEO,Shyplite
Parinay Itkan,CEO,Shyplite
Chitresh Sharma,CEO,Refyne
Apoorv Kumar,CEO,Refyne
R. Sethunath,CEO,Greenjoules
V S Shridhar,CEO,Greenjoules
V. Radhika,CEO,Greenjoules
Viraraghavan Sankaran,CEO,Greenjoules
Ashish Khare,CEO,MentorKart
SK Mohanty,CEO,MentorKart
Akshay Chaturvedi,CEO,Leverage Edu
Amar More,CEO,Kale Logistics
Vipul Jain,CEO,Kale Logistics
Prateek Gupta,CEO,CustomerGlu
Raman Shrivastava,CEO,CustomerGlu
Sumant US,CEO,CustomerGlu
Nakul Kukar,CEO,Cell Propulsion
Paras Kaushal,CEO,Cell Propulsion
Avnish Chhabria,CEO,Wellbeing Nutrition
Dheeraj Jain,CEO,Pee Safe
Srijana Bagaria,CEO,Pee Safe
Vikas Bagaria,CEO,Pee Safe
Mohit Goel,CEO,Chqbook
Rajat Kumar,CEO,Chqbook
Sachin Arora,CEO,Chqbook
Vipul Sharma,CEO,Chqbook
Guru Venkatesan,CEO,SimpliContract
Jinaraj PG,CEO,SimpliContract
Makesh Kumar,CEO,SimpliContract
Udit Dhawan,CEO,Dropshop
Rohit Fernandes,CEO,Dropshop
Ravi Teja,CEO,Dropshop
Ashish Jhina,CEO,Jumbotail
Karthik Venkateswaran,CEO,Jumbotail
Byju Raveendran,CEO,BYJU'S
Divya Gokulnath,CEO,BYJU'S
Divij Bajaj,CEO,Power Gummies
Tarun Dhamija,CEO,Convosight
Ankit Gera,CEO,Junio
Yezdi Lashkari,CEO,Flexmoney
Kush Taneja,CEO,Fampay
Sambhav Jain,CEO,Fampay
Nirmit Parikh,CEO,Apna
Yogesh Kabra,CEO,XYXX Apparels
Sudeep N,CEO,WaterScience
Nakul Aggarwal,CEO,BrowserStack
Ritesh Arora,CEO,BrowserStack
Rahul Kumar,CEO,Vital
Megha,CEO,Juicy chemistry
Pritesh Asher,CEO,Juicy chemistry
Mayank Banka,CEO,Samaaro
Purnank Prakash,CEO,Samaaro
Skandha Gopalan,CEO,Samaaro
Disha Katharani,CEO,Imagimake
Ravi Kumar,CEO,Imagimake
Amit Kumar,CEO,MSMEx
Vishal Kumar,CEO,MSMEx
Dilip Kumar,CEO,MSMEx
Khushboo Arora,CEO,MSMEx
Kumar Sambhav,CEO,MSMEx
Balachander Sekhar,CEO,RenewBuy
