Name,Designation,Company
Prasanna Vaidya,CEO,Gyde
Shubham Deshmukh,CEO,Gyde
Ashwin Shankar,CEO,BatteryPool
Taranjeet Singh Bhamra,CEO,AgNext
Ashwin Koorakula,CEO,Xpresslane
Saurabh Nagpal,CEO,LoanKuber
Ritesh Agarwal,CEO,OYO
Aravind Sanka,CEO,Rapido
Pavan Guntupalli,CEO,Rapido
SR Rishikesh,CEO,Rapido
Dr Navneet Gupta,CEO,YPay
Kabir Siddiq,CEO,SleepyCat
Mohit Kumar,CEO,Ultrahuman
Vatsal Singhal,CEO,Ultrahuman
Gautam Kshatriya,CEO,UpScalio
Anshul Gupta,CEO,Yellow Class
Arpit Mittal,CEO,Yellow Class
Anuj Jain,CEO,Yojak
Ankit Acharya,CEO,CreatorStack
Kevin William David,CEO,CreatorStack
Jatin Solank,CEO,Expertrons
Vivek Gupta,CEO,Expertrons
Bharat Sethi,CEO,Rage Coffee
Anurakt Jain,CEO,Klub
Ishita Verma,CEO,Klub
Nupur Khandelwal,CEO,Navia Life Care
Kunal Kishore Dhawan,CEO,Navia Life Care
Gaurav Gupta,CEO,Navia Life Care
Abhishek Halder,CEO,1K Kirana Bazaar
Anilesh Yadav,CEO,1K Kirana Bazaar
Kumar Sangeetesh,CEO,1K Kirana Bazaar
Dilsher Singh,CEO,Zupee
Siddhant Saurabh,CEO,Zupee
