Name,Designation,Company
Akshat Saxena,CEO,ePayLater
Rohit Chattopadhyay,CEO,Fittr
Jitendra Chouksey,CEO,Fittr
Suniel Shetty,CEO,Fittr
Sonal Singh,CEO,Fittr
Bala Dabbedi,CEO,Fittr
Vivek Tiwari,CEO,Medikabazaar
Ketan Malkan,CEO,Medikabazaar
Rahul Saria,CEO,Nimble Growth Organics
Nagendra Kalkuli,CEO,Nimble Growth Organics
Abhisek Bhagchandka,CEO,Nimble Growth Organics
Pradeep Kumar ML,CEO,Nimble Growth Organics
Sahil Barua,CEO,Delhivery
Lavika Aggarwal,CEO,Akudo
Sajal Khanna,CEO,Akudo
Jgaveer Gandhi,CEO,Akudo
Shiv Gupta,CEO,Sanctum Wealth
Anil Ahuja,CEO,88academics
Sameer Sawhney,CEO,Upgame
Archit Aggarwal,CEO,Sanfe
Harry Sehrawat,CEO,Sanfe
Girish Patel,CEO,Sterling Accuris Wellness
Siddharth,CEO,Bijnis
Chaitanya Rathi,CEO,Bijnis
Siddharth Rastogi,CEO,Bijnis
Shubham Agarwal,CEO,Bijnis
Sashank Rishyasringa,CEO,Capital Float
Gaurav Hinduja,CEO,Capital Float
Suresh Anantpurkar,CEO,Manch Technologies
Vinners,CEO,Sochcast
Raj Nayak,CEO,Sochcast
Amritaanshu Agrawal,CEO,Sochcast
Archit Garg,CEO,Glamyo Health
Dr Preet Pal Thakur,CEO,Glamyo Health
Vivek,CEO,CashBook
Ashutosh Pathak,CEO,CashBook
Manuraj Jain,CEO,The Money Club
Surajit Ra,CEO,The Money Club
Raghuveer Allada,CEO,SuperZop
Prithwi Singh,CEO,SuperZop
Darshan Krishnamurthy,CEO,SuperZop
Akash Gupta,CEO,Zypp Electric
