Name,Designation,Company
Rhitiman Majumdar,CEO,Pickrr
Gaurav Mangla,CEO,Pickrr
Ankit Kaushik,CEO,Pickrr
Ritesh Banglani,CEO,Stellaris Venture Partners
Alok Goyal,CEO,Stellaris Venture Partners
Rahul Chowdhri,CEO,Stellaris Venture Partners
Nikhil Aggarwal,CEO,Grip Invest
Vivek Gulati,CEO,Grip Invest
Rashi Sanon,CEO,Heads Up For Tails
Matt Chitharanjan,CEO,Blue Tokai Coffee Roasters
Shivam Shahi,CEO,Blue Tokai Coffee Roasters
Namrata Asthana,CEO,Blue Tokai Coffee Roasters
Taran Chhabra,CEO,Neeman
Ashneer Grover,CEO,BharatPe
Shashvat Nakrani,CEO,BharatPe
Mohammed Roshan,CEO,GoSats
Roshni Aslam,CEO,GoSats
Ajay Lakhotia,CEO,StockGro
Yogesh Agarwal,CEO,Onsurity
Kulin Shah,CEO,Onsurity
Pulkit Sharma,CEO,Khabri
Aankit Roy,CEO,Khabri
Sandeep Singh,CEO,Khabri
Swarup Bose,CEO,Celcius
Abhilesh Gupta,CEO,AyuRythm
Arshan Vakil,CEO,Enguru
Tahem Veer Verma,CEO,Enguru
Udit Hinduja,CEO,Enguru
Vibhu Bahuguna,CEO,Rocket Skills
Mohit Jain,CEO,Rocket Skills
Balachander Sekhar,CEO,RenewBuy
Taranbir Singh,CEO,Faarms
Alok Duggal,CEO,Faarms
Rishabh Verma,CEO,UrbanMatrix Technologies
Ashutosh Kumar,CEO,UrbanMatrix Technologies
Divyanshu Pundir,CEO,UrbanMatrix Technologies
Jitendra Gupta,CEO,Jupiter
Akshata Kari,CEO,Pixuate
Prathvi Palekar,CEO,Pixuate
Daanish Suhail,CEO,Playo
Dr Arpi Mehta,CEO,Toothsi
Dr Pravin Shetty,CEO,Toothsi
Dr Manjul Jain,CEO,Toothsi
Dr Anirudh Kale,CEO,Toothsi
Sahil Dharia,CEO,Soothe Healthcare
Srinivasan Narayan,CEO,Goodmeetings
Shruti,CEO,Apnaklub
Manish Kumar,CEO,Apnaklub
Vaibhav Gupta,CEO,ChefKart
Arpit Gupta,CEO,ChefKart
Aman Gupta,CEO,ChefKart
Pawan Gupta,CEO,Fashinza
Abhishek Sharma,CEO,Fashinza
Dhinesh Kanagaraj,CEO,Fabheads
Anshul Goenka,CEO,QuickShift
Shanmukha Boora,CEO,StackBOX
Sabyasachi Bhattacharjee,CEO,StackBOX
Samrat,CEO,MedPrime Technologies
Greeshma Unnikrishnan,CEO,MedPrime Technologies
Binil Jacob,CEO,MedPrime Technologies
Mahesh Kumar Rathor,CEO,MedPrime Technologies
Sneha Priya,CEO,SP Robotic Works
Pranavan S,CEO,SP Robotic Works
Lalit,CEO,3SC
Sarita Das,CEO,3SC
Vidur Maheswari,CEO,Chai Waale
Mohit,CEO,Minimalist
Rahul Yadav,CEO,Minimalist
Aniket Jindal,CEO,Biconomy
Sachin Tomar,CEO,Biconomy
Vivek Sharma,CEO,Fixcraft
Abhishek Goyal,CEO,Fixcraft
Inderjeet Rao,CEO,Fixcraft
Rajan Bajaj,CEO,Slice
Vingish Vijay,CEO,90+ My Tuition App
Pradeep Dodle,CEO,Wasabi
Nikhil Goenka,CEO,Wasabi
Sudarshan Lodha,CEO,Strata
Priyanka Rathore,CEO,Strata
Pallavi Srivastava,CEO,Ourbetterplanet
