Name,Designation,Company
Kunal Joshi,CEO,Elevar
Pranav Marwah,CEO,Elevar
Abhaas Shah,CEO,Studio Sirah
Prateek Shah,CEO,Studio Sirah
Harsh Saruparia,CEO,OTO Capital
Sumit Chhazed,CEO,OTO Capital
Madan Padaki,CEO,1Bridge
Anil Kumar,CEO,1Bridge
M Chakrawarty,CEO,1Bridge
Mayank Tewari,CEO,Skeps
Tushar Srivastava,CEO,Skeps
Ankit Nagori,CEO,Curefoods
Jaisimha Rao,CEO,TartanSense
Prabhkiran Singh,CEO,Bewakoof
Tarun Jiwarajka,CEO,Kirana247
Pankhuri Jiwarajka,CEO,Kirana248
YC W21,CEO,FanPlay
Nikunj Malpani,CEO,NeoDocs
Anurag Meena,CEO,NeoDocs
Pratik Lodha,CEO,NeoDocs
Eobin Alex,CEO,IsGoingOnline
Anshul Bhagi,CEO,Camp K12
Swathi Kulkarni,CEO,Elda Health
Sindhuri Ananth,CEO,Elda Health
Shubham Sharma,CEO,Elda Health
G Srinivvasan,CEO,Sporjo
Sourabh Deorah,CEO,Advantage Club
Smiti Bhatt Deorah,CEO,Advantage Club
Roby John,CEO,SuperGaming
Sanket Nadhani,CEO,SuperGaming
Navneet Waraich,CEO,SuperGaming
Ankur Gupta,CEO,Ruptok
Ankit Nagori,CEO,Curefoods
Jaisimha Rao,CEO,TartanSense
Prabhkiran Singh,CEO,Bewakoof
Tarun Jiwarajka,CEO,Kirana247
Pankhuri Jiwarajka,CEO,Kirana248
YC W21,CEO,FanPlay
Nikunj Malpani,CEO,NeoDocs
Anurag Meena,CEO,NeoDocs
Pratik Lodha,CEO,NeoDocs
Eobin Alex,CEO,IsGoingOnline
Anshul Bhagi,CEO,Camp K12
Swathi Kulkarni,CEO,Elda Health
Sindhuri Ananth,CEO,Elda Health
Shubham Sharma,CEO,Elda Health
G Srinivvasan,CEO,Sporjo
Sourabh Deorah,CEO,Advantage Club
Smiti Bhatt Deorah,CEO,Advantage Club
Roby John,CEO,SuperGaming
Sanket Nadhani,CEO,SuperGaming
Navneet Waraich,CEO,SuperGaming
Ankur Gupta,CEO,Ruptok
Nitesh Prakash,CEO,O’ Be Cocktails
Srinath Ramakkrushnan,CEO,Zetwerk
Amrit Acharya,CEO,Zetwerk
Prashant Sachan,CEO,AppsForBharat
Disha Katharani,CEO,Imagimake
Ravi Jalan,CEO,Imagimake
Ravish Naresh,CEO,Khatabook
Ashish Sonone,CEO,Khatabook
Swagat Sarangi,CEO,Smytten
Siddhartha Nangia.,CEO,Smytten
Saurabh Sharma,CEO,Syook
Aman Agarwal,CEO,Syook
Arjun Nagarajan,CEO,Syook
Lavika Aggarwal,CEO,Akudo
Sajal Khanna,CEO,Akudo
Jagveer Gandhi,CEO,Akudo
Varun Sheth,CEO,NOTO
Ashni Sheth,CEO,NOTO
Shoaib Mohammad,CEO,Lumiq
Piyush Pathak,CEO,CommerceUp
Rohan Verma,CEO,Breathe Well-being
Aditya Kaicker,CEO,Breathe Well-being
Kavin Bharti Mittal,CEO,Hike
Ajith Mohan Karimpana,CEO,House of Kieraya
Dheeman Kadam,CEO,goEgoNetwork
Sayantan Chakraborti,CEO,goEgoNetwork
Anand Singh,CEO,Probus
Ankit Vaish,CEO,Probus
Sunny Kumar Jadoon,CEO,Probus
Anil Kejriwal,CEO,DrinkPrime
Yogesh Dhingra,CEO,Smart Express
Anugrah Shrivastava,CEO,Smallcase
Vasanth Kamath,CEO,Smallcase
Rohan Gupta,CEO,Smallcase
Vivek Tiwari,CEO,SATYA MicroCapital
Deepak Grover,CEO,Snack Amor
Abhinav Asthana,CEO,Postman
Abhijit Kane,CEO,Postman
Ankit Sobti,CEO,Postman
Syed Fazle Rahman,CEO,Hashnode
Sandeep Panda,CEO,Hashnode
Arun Sreyas Reddy,CEO,RACEnergy
Ashneer Grover,CEO,BharatPe
Shashvat Nakrani,CEO,BharatPe
