Name,Designation,Company
Andreas Balkhaus,Vice President Procurement & Supply Management at thyssenKrupp Bilstein GmbH,thyssenKrupp Bilstein GmbH
Thomas Kazala,Global Commodity Manager - Procurement & Supply Chain at thyssenkrupp,thyssenkrupp
